fonte;http://geogeral.com/h/b7/cidbolsc.htm
fonteatualizada;Esta página foi atualizada em 28/08/17
Fonte;População Cálculo: World Gazetteer (2013). 
Fontes complementares: IBGE (2015); CIA - The World Factbook (2015); 
City Population; GeoHive (2015), Wikipédia (2015), dentre outras. 
Fontes das bandeiras; the flag research center, world flag database, world flags collection, multimediapalace, caccioppoli, vexilla mundi e wikipédia. Criação e Organização: Geografia na Internet: www.geogeral.com/
bandeiradepartamento;http://geogeral.com/i/m/s/bol-scruz.gif
Obs;Muncipio Com Asteristo (*) Capital do Departamento
San Juan de Palometillas; [Santa Cruz] - Bolívia; Pop.: 735;
San Juan de Taperas; [Santa Cruz] - Bolívia; Pop.: 1.384;
San Juan del Potrero; [Santa Cruz] - Bolívia; Pop.: 734;
San Juan del Valle; [Santa Cruz] - Bolívia; Pop.: 966;
San Julián; [Santa Cruz] - Bolívia; Pop.: 10.365;
San Luis; [Santa Cruz] - Bolívia; Pop.: 2.094;
San Martín; [Santa Cruz] - Bolívia; Pop.: 1.890;
San Matías; [Santa Cruz] - Bolívia; Pop.: 7.881;
San Miguel (San Miguel de Velasco); [Santa Cruz] - Bolívia; Pop.: 6.013;
San Pablo; [Santa Cruz] - Bolívia; Pop.: 1.292;
San Pedro; [Santa Cruz] - Bolívia; Pop.: 3.230;
San Rafael; [Santa Cruz] - Bolívia; Pop.: 3.238;
San Rafael de Saipiná; [Santa Cruz] - Bolívia; Pop.: 850;
San Rafaelito; [Santa Cruz] - Bolívia; Pop.: 795;
San Ramón; [Santa Cruz] - Bolívia; Pop.: 11.736;
San Vicente; [Santa Cruz] - Bolívia; Pop.: 1.445;
Santa Ana; [Santa Cruz] - Bolívia; Pop.: 760;
Santa Cruz* (Santa Cruz de la Sierra); [Santa Cruz] - Bolívia; Pop.: 1.912.947;
Santa Fe; [Santa Cruz] - Bolívia; Pop.: 9.182;
Santa Fe de Amboro; [Santa Cruz] - Bolívia; Pop.: 1.085;
Santa Fe de Yapacaní; [Santa Cruz] - Bolívia; Pop.: 9.221;
Santa María; [Santa Cruz] - Bolívia; Pop.: 1.168;
Santa Martha; [Santa Cruz] - Bolívia; Pop.: 2.581;
Santa Rita; [Santa Cruz] - Bolívia; Pop.: 3.329;
Santa Rosa (Santa Rosa del Sara); [Santa Cruz] - Bolívia; Pop.: 5.618;
Santa Rosa de la Mina; [Santa Cruz] - Bolívia; Pop.: 828;
Santa Rosa de Lima; [Santa Cruz] - Bolívia; Pop.: 757;
Santa Rosa de Proboste; [Santa Cruz] - Bolívia; Pop.: 814;
Santa Rosa de Roca; [Santa Cruz] - Bolívia; Pop.: 1.728;
Santiago de Chiquitos; [Santa Cruz] - Bolívia; Pop.: 1.980;
Santo Corazón; [Santa Cruz] - Bolívia; Pop.: 872;
Simón Bolívar; [Santa Cruz] - Bolívia; Pop.: 6.854;
Sinai; [Santa Cruz] - Bolívia; Pop.: 881;
Sindicato Porvenir; [Santa Cruz] - Bolívia; Pop.: 801;
Sombrerito; [Santa Cruz] - Bolívia; Pop.: 745;
Tajibos; [Santa Cruz] - Bolívia; Pop.: 1.505;
Tarope; [Santa Cruz] - Bolívia; Pop.: 1.580;
Tarumá; [Santa Cruz] - Bolívia; Pop.: 1.857;
Tarumatu; [Santa Cruz] - Bolívia; Pop.: 836;
Terebinto; [Santa Cruz] - Bolívia; Pop.: 1.096;
Tiquipaya; [Santa Cruz] - Bolívia; Pop.: 2.240;
